sep_index,pp_index,cdaw_sep_id,timestamp,cdaw_start_time,cdaw_max_time,cdaw_evn_max,cme_id,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,fl_id,fl_start_time,fl_peak_time,fl_rise_time,fl_lon,fl_lat,fl_goes_class,noaa_ar,noaa_ar_uncertain,harpnum,noaa_pf10MeV,ppf_gt10MeV,ppf_gt30MeV,ppf_gt60MeV,ppf_gt100MeV,fluence_gt10MeV,fluence_gt30MeV,fluence_gt60MeV,fluence_gt100MeV,gsep_pf_gt10MeV,gsep_max_time,gsep_fluence_gt10MeV,m_type2_onset_time,dh_type2_onset_time,start_fr,noaa-sep_flag,Inst_category,Comments,Notes,Fe_e_p_shock_notes,gsep_notes,slice_start,slice_end,Flag
gsep_021,psep_031,,12/14/1988 12:10,,,,,,,,,,,,12/14/1988 10:44,12/14/1988 10:46,2,-30,-16,C7.2,5273,FALSE,,,3.68,1.86,1.07,0.64,385000,198000,120000,71400,5.85,12/15/1988 2:40,2408692,,,,0,P,,,,AR from LMSAL-HEK,12/14/1988 0:10,12/15/1988 21:10,0
gsep_022,psep_032,,12/16/1988 9:40,,,,,,,,,,,,12/16/1988 8:38,12/16/1988 8:41,3,-37,26,X4.7,5278,FALSE,,29,12.39,2.44,1.44,0.86,1510000,474000,258000,147000,12.8,12/18/1988 1:50,14173023,,,,1,P,,,,Data corrected for spike,12/15/1988 21:40,12/19/1988 0:30,1
gsep_022_1,,,12/27/1988 8:55,,,,,,,,,,,,12/27/1988 5:30,12/27/1988 5:42,12,-17,-17,M1.3,5285,FALSE,,,,,,,,,,,2,12/27/1988 10:35,333620,,,,0,P,,,,,12/26/1988 20:55,12/27/1988 18:15,0
gsep_022_2,,,12/29/1988 0:45,,,,,,,,,,,,12/28/1988 23:42,12/28/1988 23:43,1,54,20,M3.6,5285,FALSE,,,,,,,,,,,1.66,12/29/1988 1:25,171063,,,,0,P,,,,,12/28/1988 12:45,12/29/1988 5:00,0
gsep_023,psep_033,,1/4/1989 21:15,,,,,,,,,,,,1/4/1989 16:03,1/4/1989 17:53,110,60,-20,M4.7,5303,FALSE,,28,10.43,,,,367000,,,,10.6,1/5/1989 1:30,1981665,,,,1,P,,Brief data gap,,AR from LMSAL-HEK,1/4/1989 9:15,1/5/1989 9:15,0
gsep_024,psep_034,,3/8/1989 17:55,,,,,,,,,,,,3/6/1989 13:54,3/6/1989 14:15,21,-69,35,X5,5395,FALSE,,,111.85,3.89,,,8230000,462000,,,138,3/9/1989 23:55,122153944,,,,0,P,,Brief data gap,,AR & Flare location from Kurt et al. (2004),3/8/1989 5:55,3/10/1989 22:00,1
gsep_025,psep_035,,3/12/1989 19:25,,,,,,,,,,,,3/10/1989 18:48,3/10/1989 18:50,2,-22,31,X4.5,5395,FALSE,,3500,3641.16,58.29,1.92,0.47,27900000,1100000,243000,112000,1500,3/13/1989 6:45,231808182,,,,1,P,GOES-07 data,Brief data gap,,AR & Flare location from Kurt et al. (2004),3/12/1989 7:25,3/13/1989 17:55,1
gsep_026,psep_036,,3/17/1989 19:00,,,,,,,,,,,,3/17/1989 17:29,3/17/1989 17:37,8,60,33,X6.5,5395,FALSE,,2000,896.12,46.16,2.11,,39800000,1480000,165000,,1250,3/18/1989 9:20,623533508,,,,1,P,Taken by 4,Brief data gap,,AR & Flare location from Kurt et al. (2004),3/17/1989 7:00,3/19/1989 12:20,1
gsep_027,psep_037,,3/23/1989 20:55,,,,,,,,,,,,3/23/1989 19:25,3/23/1989 19:37,12,28,18,X1.5,5409,FALSE,,53,23.27,4.71,1.09,0.4,725000,109000,40800,21000,29.7,3/23/1989 22:20,8482639,,,,1,P,,Brief data gap,,AR & Flare location from Kurt et al. (2004),3/23/1989 8:55,3/24/1989 8:30,1
gsep_027_1,,,4/9/1989 17:00,,,,,,,,,,,,4/9/1989 0:44,4/9/1989 0:59,15,35,-28,X3.5,5441,FALSE,,,,,,,,,,,4.23,4/11/1989 10:10,1619711,,,,0,P,,,,Flare data from LMSAL-HEK,4/9/1989 5:00,4/11/1989 11:00,0
