run_id,proximity_weight,sparsity_weight,diversity_weight,l0_penalty_weight,ordering_penalty,proximity,sparsity,diversity_mean_pairwise_l1,diversity_stddev
179,0.1,100.0,5,100,10,607.1494227471894,927.8,238.59354093821523,39.71539878438828
180,0.1,100.0,5,100,100,919.7134134663604,928.0,3.7792025188290617,1.3030000958337191
181,0.1,100.0,10,0,1,613.9668077407737,927.7,228.7014778460204,35.60880832791108
182,0.1,100.0,10,0,10,637.7611370489255,927.9,223.8362534587088,41.18841978747624
183,0.1,100.0,10,0,100,651.8827687686417,927.8,207.85911287866023,45.18850610536033
184,0.1,100.0,10,1,1,924.061552164922,928.0,1.6017795876354073,1.0463608806386309
185,0.1,100.0,10,1,10,911.3021527405336,928.0,8.754293545735663,2.494125287304304
186,0.1,100.0,10,1,100,918.3630819468126,928.0,5.4567308494029945,1.8017662705984847
187,0.1,100.0,10,10,1,919.8078555734804,928.0,3.022731377929613,1.28800945309012
188,0.1,100.0,10,10,10,600.4537274398713,926.1,234.29301731042065,40.842384712658045
189,0.1,100.0,10,10,100,627.9744882244911,927.5,228.79856923038403,40.63924910447668
190,0.1,100.0,10,100,1,652.2702887531119,927.8,211.9580970335604,51.78772466681002
191,0.1,100.0,10,100,10,922.5173945384096,928.0,2.555555555555556,1.1066577420434427
192,0.1,100.0,10,100,100,922.9070458998724,928.0,2.7111111111111112,1.2757955639473175
193,1.0,0.1,0,0,1,924.882230388292,928.0,2.0347893594593844,1.1343567634933058
194,1.0,0.1,0,0,10,916.502878480602,928.0,6.864863338541844,2.145473267766099
195,1.0,0.1,0,0,100,921.1349436135891,928.0,2.8076479918687447,1.5359090133819933
196,1.0,0.1,0,1,1,922.3432463352672,928.0,3.0121985454900715,1.1614385913690624
197,1.0,0.1,0,1,10,924.5589051249668,928.0,2.980903481515582,1.2285604852383765
198,1.0,0.1,0,1,100,632.3281196208509,928.0,222.0454865139164,37.10110544505829
199,1.0,0.1,0,10,1,918.8376318852564,928.0,3.79084439140433,1.6044551466110626
200,1.0,0.1,0,10,10,632.6238403338687,928.0,225.15128161958177,41.76234068352019
201,1.0,0.1,0,10,100,922.9222857743468,928.0,2.4124289582995884,0.9048115853776764
202,1.0,0.1,0,100,1,629.8065413350654,927.9,228.27690532345,35.697822508312235
203,1.0,0.1,0,100,10,916.9516562004094,928.0,5.913213052315905,2.3957014100919656
204,1.0,0.1,0,100,100,923.318964259784,928.0,2.3942246902272526,0.9017630752562176
205,1.0,0.1,1,0,1,922.1652445332312,928.0,2.1546377758144657,1.2826577847187122
206,1.0,0.1,1,0,10,653.8125093682169,927.4,214.7893635139241,34.48363445803587
207,1.0,0.1,1,0,100,626.9067424448413,927.5,223.28410897901583,40.71836637775562
208,1.0,0.1,1,1,1,919.323394919162,928.0,3.458258051750556,1.2448686763636507
209,1.0,0.1,1,1,10,626.5838696195221,927.5,231.96159161730267,36.1203566936768
210,1.0,0.1,1,1,100,638.4794087634539,927.9,226.92512014074487,34.596081949125
211,1.0,0.1,1,10,1,924.735382630852,928.0,1.5657075165412389,0.7961922539416877
212,1.0,0.1,1,10,10,643.8004903870141,927.9,226.260247303892,39.73287803570974
213,1.0,0.1,1,10,100,920.296761992884,928.0,2.977201728148887,1.245866880783672
214,1.0,0.1,1,100,1,923.2113564736268,928.0,2.1163489627068435,1.079209841661137
215,1.0,0.1,1,100,10,632.5721941083493,927.8,228.2034949550333,40.09244093809488
216,1.0,0.1,1,100,100,924.756623760542,928.0,1.7846604198469938,0.9099433427758188
217,1.0,0.1,5,0,1,919.7016977543016,928.0,4.552690676695764,1.7446269907107417
218,1.0,0.1,5,0,10,917.5286760300784,928.0,4.122103021675983,1.3260874706253312
219,1.0,0.1,5,0,100,635.8312989136984,927.6,224.2568380235352,21.49661733028692
220,1.0,0.1,5,1,1,923.2339860309884,928.0,2.049894799381598,1.1703811771407089
221,1.0,0.1,5,1,10,922.9765439666523,928.0,2.923231646194718,1.623479429984516
222,1.0,0.1,5,1,100,921.0871865395002,928.0,2.7870190618154016,1.028336256830866
223,1.0,0.1,5,10,1,634.0185403404937,927.4,224.9471668068957,52.09906097399202
224,1.0,0.1,5,10,10,646.0079247499897,927.5,217.5199553801301,35.401279952508354
225,1.0,0.1,5,10,100,924.9924756542296,928.0,2.050998345456989,0.986406078414108
226,1.0,0.1,5,100,1,922.7498494355634,928.0,3.1134790577242533,1.2677144785451944
227,1.0,0.1,5,100,10,923.8041662200944,928.0,1.50722446771297,0.8532935514955726
