sep_index,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,ppf_gt10MeV,fl_rise_time,fl_lon,fl_lat,fl_goes_class,fluence_gt10MeV,gsep_fluence_gt10MeV,gsep_pf_gt10MeV,cme_fl_interval,fl_start_time,fl_peak_time,fl_cme_launch_interval,fl_cme_peak_interval,GOES_X_ray_flux_value
gsep_188,2001-04-18 02:06:00,2001-04-18 02:30:00,360.0,360.0,2465.0,2465.0,257.46,3.0,115.0,-20.0,C2.2,11500000.0,171161885,321.0,24.0,2001-04-18 02:11:00,2001-04-18 02:14:00,5.0,8.0,2.2e-06
gsep_189,2001-04-26 11:40:00,2001-04-26 12:30:00,360.0,360.0,1006.0,1006.0,43.12,106.0,31.0,17.0,M7.8,479000.0,2303020,57.5,50.0,2001-04-26 11:26:00,2001-04-26 13:12:00,-14.0,92.0,7.8e-05
gsep_191,2001-05-20 05:17:00,2001-05-20 06:26:00,179.0,179.0,546.0,546.0,8.4,3.0,94.0,-17.0,M6.4,433000.0,3948646,9.16,69.0,2001-05-20 06:00:00,2001-05-20 06:03:00,43.0,46.0,6.400000000000001e-05
gsep_193,2001-08-09 09:57:00,2001-08-09 10:30:00,175.0,285.0,479.0,479.0,13.29,25.0,14.0,11.0,C3.7,621000.0,4668990,17.0,33.0,2001-08-09 10:57:00,2001-08-09 11:22:00,60.0,85.0,3.7e-06
gsep_195,2001-09-15 10:17:00,2001-09-15 11:54:00,130.0,248.0,478.0,478.0,9.49,24.0,49.0,-21.0,M1.5,329000.0,2390124,11.6,97.0,2001-09-15 11:04:00,2001-09-15 11:28:00,47.0,71.0,1.5000000000000002e-05
gsep_196,2001-09-24 10:16:00,2001-09-24 10:30:00,360.0,360.0,2402.0,2402.0,9235.54,66.0,-23.0,-16.0,X2.6,436000000.0,7180704776,12900.0,14.0,2001-09-24 09:32:00,2001-09-24 10:38:00,-44.0,22.0,0.00026000000000000003
gsep_197,2001-10-01 05:20:00,2001-10-01 05:30:00,360.0,360.0,1405.0,1405.0,1602.2,34.0,79.0,-17.0,M9.1,54300000.0,908976103,2360.0,10.0,2001-10-01 04:41:00,2001-10-01 05:15:00,-39.0,-5.0,9.1e-05
gsep_198,2001-10-09 10:29:00,2001-10-09 11:30:00,360.0,360.0,973.0,973.0,5.01,27.0,-8.0,-28.0,M1.4,686000.0,3292486,5.4,61.0,2001-10-09 10:46:00,2001-10-09 11:13:00,17.0,44.0,1.4e-05
gsep_199,2001-10-19 00:05:00,2001-10-19 01:27:00,360.0,360.0,558.0,558.0,6.17,18.0,18.0,16.0,X1.6,239000.0,2824801,6.65,82.0,2001-10-19 00:47:00,2001-10-19 01:05:00,42.0,60.0,0.00016
gsep_200,2001-10-19 16:07:00,2001-10-19 16:50:00,360.0,360.0,901.0,901.0,9.53,17.0,29.0,15.0,X1.6,833000.0,6770007,11.7,43.0,2001-10-19 16:13:00,2001-10-19 16:30:00,6.0,23.0,0.00016
