sep_index,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,ppf_gt10MeV,cme_lf_interval
gsep_291,2011-08-08 17:44:00,2011-08-08 18:12:00,237.0,237.0,1343.0,1343.0,3.88,28.0
gsep_292,2011-08-09 07:44:00,2011-08-09 08:12:00,360.0,360.0,1610.0,1610.0,27.25,28.0
gsep_293,2011-09-06 01:45:00,2011-09-06 02:24:00,360.0,360.0,782.0,782.0,7.66,39.0
gsep_294,2011-09-22 10:27:00,2011-09-22 10:48:00,360.0,360.0,1905.0,1905.0,22.99,21.0
gsep_295,2011-10-22 10:07:00,2011-10-22 10:24:00,360.0,360.0,1005.0,1005.0,7.88,17.0
gsep_296,2011-11-03 21:30:00,2011-11-03 23:30:00,360.0,360.0,991.0,991.0,3.83,120.0
gsep_297,2011-11-26 06:39:00,2011-11-26 07:12:00,360.0,360.0,933.0,933.0,48.14,33.0
gsep_298,2011-12-25 17:00:00,2011-12-25 18:48:00,125.0,125.0,366.0,366.0,3.5,108.0
gsep_299,2012-01-19 14:31:00,2012-01-19 14:36:00,360.0,360.0,1120.0,1120.0,3.35,5.0
gsep_300,2012-01-23 03:40:00,2012-01-23 04:00:00,360.0,360.0,2175.0,2175.0,3806.43,20.0
gsep_301,2012-01-27 18:14:00,2012-01-27 18:27:00,360.0,360.0,2508.0,2508.0,535.77,13.0
gsep_302,2012-02-24 17:36:00,2012-02-24 17:36:00,94.0,94.0,461.0,461.0,4.02,0.0
gsep_303,2012-03-04 10:31:00,2012-03-04 11:00:00,360.0,360.0,1306.0,1306.0,3.76,29.0
gsep_304,2012-03-07 00:12:00,2012-03-07 00:24:00,360.0,360.0,2864.0,2864.0,4200.59,12.0
gsep_305,2012-03-13 17:13:00,2012-03-13 17:36:00,360.0,360.0,1884.0,1884.0,297.34,23.0
gsep_306,2012-05-17 01:17:00,2012-05-17 01:48:00,360.0,360.0,1582.0,1582.0,215.65,31.0
gsep_307,2012-05-26 20:24:00,2012-05-26 20:57:00,360.0,360.0,1966.0,1966.0,10.24,33.0
gsep_308,2012-06-14 13:27:00,2012-06-14 14:12:00,360.0,360.0,987.0,987.0,10.17,45.0
gsep_309,2012-07-06 22:48:00,2012-07-06 23:24:00,360.0,360.0,1828.0,1828.0,15.91,36.0
gsep_311,2012-07-12 16:12:00,2012-07-12 16:48:00,360.0,360.0,885.0,885.0,58.61,36.0
gsep_312,2012-07-17 13:48:00,2012-07-17 13:48:00,176.0,176.0,958.0,958.0,82.25,0.0
gsep_313,2012-07-19 05:05:00,2012-07-19 05:24:00,360.0,360.0,1631.0,1931.0,54.92,19.0
gsep_314,2012-07-23 02:10:00,2012-07-23 02:36:00,360.0,360.0,2003.0,2008.0,11.53,26.0
gsep_315,2012-08-31 19:36:00,2012-08-31 20:00:00,360.0,360.0,1442.0,1442.0,34.44,24.0
gsep_316,2012-09-27 23:19:00,2012-09-28 00:12:00,360.0,360.0,947.0,947.0,19.6,53.0
gsep_317,2012-12-14 01:37:00,2012-12-14 02:00:00,149.0,149.0,763.0,763.0,6.01,23.0
gsep_318,2013-01-16 18:03:00,2013-01-16 19:00:00,250.0,250.0,648.0,648.0,2.71,57.0
gsep_319,2013-03-15 06:31:00,2013-03-15 07:12:00,360.0,360.0,1063.0,1063.0,10.42,41.0
