sep_index,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,ppf_gt10MeV,fl_rise_time,fl_lon,fl_lat,fluence_gt10MeV,gsep_fluence_gt10MeV,gsep_pf_gt10MeV,cme_fl_interval,fl_cme_launch_interval,fl_cme_peak_interval,GOES_X_ray_flux_value
gsep_154,1.0,1.0,0.4031777557100298,0.4256132526282255,0.0003551692799465157,0.0744336569579288,0.3105022831050228,0.7301587301587301,0.001406069625066337,0.0005288354162870968,0.0003057782055330817,0.9306647605432452,0.8218135700697526,0.8341836734693877,0.01529226811490639
gsep_157,0.25,0.3269230769230769,0.6170142336974511,0.6314112774769035,0.0016969198930777973,0.025889967637540454,0.771689497716895,0.7619047619047619,0.003561678310965702,0.0025734497876817378,0.0015589675724719412,0.9485346676197284,0.8351299936588459,0.8380102040816326,0.013505788194940686
gsep_159,1.0,1.0,0.27209533267130087,0.2994584262503982,0.001426480539393032,0.08414239482200647,0.7579908675799086,0.746031746031746,0.002434634175698521,0.0019398771446420971,0.0013534445162939682,0.9928520371694067,0.8452758402029169,0.8596938775510204,0.0030370158639416887
gsep_160,0.30357142857142855,0.375,0.2800397219463754,0.30710417330359985,0.0,0.038834951456310676,0.7625570776255708,0.1111111111111111,0.00014662515934543902,2.5318662399880407e-05,1.5038272403266327e-06,0.949964260185847,0.8325935320228282,0.8380102040816326,0.002358153494354723
gsep_161,1.0,1.0,0.24925521350546176,0.27747690347244347,0.0022347034433236107,0.07766990291262135,0.3744292237442922,0.8095238095238095,0.003999365353787908,0.0036115495563141466,0.002067762455449118,0.9449606862044317,0.818008877615726,0.8309948979591837,0.0817493211376304
gsep_162,1.0,1.0,0.24561403508771928,0.273972602739726,0.0012721095778476508,0.061488673139158574,0.6301369863013698,0.8412698412698413,0.0015592600900541092,0.0012023231077523688,0.0011078194003739518,0.9385275196568977,0.8300570703868104,0.8399234693877551,0.01815063598685151
gsep_163,0.30357142857142855,0.375,0.4141012909632572,0.43612615482637784,7.42837709692059e-05,0.10355987055016182,0.7077625570776256,0.746031746031746,0.0004902094879608707,7.880626762290332e-05,6.942669092841283e-05,0.9285203716940672,0.8154724159797083,0.8335459183673469,0.006359868515077891
gsep_164,0.075,0.16987179487179488,0.15028136378682555,0.18222363810130615,0.00019112595238951935,0.016181229773462782,0.7488584474885844,0.746031746031746,0.00024291630876632436,9.194964505024671e-05,0.00017068439177707266,0.9471050750536097,0.7863031071655041,0.7869897959183674,0.019937115906817206
gsep_165,1.0,1.0,0.4329692154915591,0.45428480407773175,0.7014918270441676,0.05825242718446602,0.4885844748858447,0.8412698412698413,0.04321612439065757,1.0,0.6014857813134428,0.9406719085060757,0.8173747622067217,0.826530612244898,0.203229955695298
gsep_166,0.5321428571428571,0.6762820512820513,0.28599801390268126,0.31283848359350114,0.0004522798347031339,0.045307443365695796,0.7123287671232876,0.7142857142857143,0.0005733700260970899,0.000361926086631584,0.0003960078399526796,0.9456754824874911,0.8306911857958148,0.8373724489795918,0.01279119622695441
gsep_167,1.0,1.0,0.178417742469381,0.20930232558139536,0.0005157305557393306,0.006472491909385114,0.8127853881278538,0.6666666666666666,0.0005580509795983127,9.564461410191946e-05,0.00041856524855757906,0.9506790564689064,1.0,1.0,0.003858796627125911
gsep_169,0.13214285714285715,0.22115384615384615,0.0440251572327044,0.07996177126473399,7.583134953106436e-05,0.025889967637540454,0.817351598173516,0.746031746031746,0.00018492277559238206,2.595792653178336e-05,7.819901649698484e-05,0.9635453895639743,0.6360177552314521,0.6377551020408163,0.0035015006431327713
gsep_170,1.0,1.0,0.3919232042370076,0.4147817776361899,0.008503557302771752,0.1262135922330097,0.4977168949771689,0.2222222222222222,0.01706432358203076,0.013702793442702409,0.008000360918537678,0.9263759828448892,0.8224476854787571,0.8450255102040817,0.003144204659139631
gsep_171,1.0,1.0,0.32108573320092687,0.34660719974514176,0.00037412711732928185,0.14563106796116504,0.9452054794520548,0.5555555555555556,0.0013513587447135612,0.0007133861493462673,0.0003333483716057366,0.947819871336669,0.8262523779327837,0.8526785714285714,0.00850364441903673
gsep_174,0.32142857142857145,0.391025641025641,0.45415425355842437,0.4746734628862695,0.42509158763376403,0.13915857605177995,0.8082191780821918,0.6507936507936508,0.7745911729465639,0.6519753412388782,0.37089893779669264,0.9313795568263045,0.8262523779327837,0.8514030612244898,0.026011147634700586
gsep_175,1.0,1.0,0.30552797087057265,0.33163427843262183,0.0003021647142028636,0.012944983818770227,0.4794520547945205,0.8571428571428571,9.738536702794085e-05,0.00010897067393087586,0.000258157009589405,0.9349535382416011,0.8224476854787571,0.8227040816326531,0.07103044161783621
gsep_176,1.0,1.0,0.29096325719960275,0.31761707550175217,0.0025716886751682897,0.061488673139158574,0.4885844748858447,0.8412698412698413,0.0026753620492507347,0.0019086047136451575,0.002310881192635257,0.9363831308077198,0.8211794546607483,0.8309948979591837,0.0817493211376304
gsep_177,1.0,1.0,0.7126779212181397,0.7234788149092067,0.025825604145653453,0.09385113268608414,0.228310502283105,0.6031746031746031,0.02603690795988598,0.024880886952920327,0.023564972855918315,0.9335239456754825,0.8230818008877616,0.8392857142857143,0.028869515506645703
gsep_178,1.0,1.0,0.3776895067858325,0.40108314749920354,4.023704260831986e-05,0.03559870550161812,0.2465753424657534,0.38095238095238093,0.0005011516640314259,0.00016471123783338336,3.4337388654124746e-05,0.0,0.0,0.0,0.027083035586680005
gsep_179,1.0,1.0,0.18205892088712347,0.21280662631411276,0.001328983089995949,0.05501618122977346,0.726027397260274,0.42857142857142855,0.0024674607039101865,0.00195507296506525,0.0011805043836564057,0.9163688348820586,0.8192771084337349,0.8278061224489796,0.004930684579105331
gsep_181,1.0,1.0,0.1906653426017875,0.22108951895508125,0.0009389932924076184,0.04854368932038835,0.54337899543379,0.8095238095238095,0.0028942055706618376,0.0025172038646049722,0.0008421432545829136,0.9471050750536097,0.8370323398858592,0.8443877551020408,0.06031156209804202
gsep_182,0.0,0.00641025641025641,0.20721615359152598,0.23701815864925135,0.03212192752457458,0.11326860841423948,0.7397260273972602,0.7619047619047619,0.04288785910854091,4.573149453712452e-05,5.915053811951417e-05,0.9342387419585418,0.8262523779327837,0.8463010204081632,0.03887380305845363
gsep_183,0.5857142857142857,0.16666666666666666,0.7080436941410129,0.7190187957948391,0.03212192752457458,0.05177993527508091,0.8127853881278538,0.7619047619047619,0.041574797980074296,0.03835410820605475,0.027775689128832885,0.9342387419585418,0.8224476854787571,0.8303571428571429,0.7141632128054881
gsep_184,1.0,1.0,0.27341939755047995,0.30073271742593183,0.0001396689652077257,0.03559870550161812,0.4748858447488584,0.15873015873015872,0.00016084998823716071,0.0001290700876892982,0.0001025108902155987,0.9370979270907791,0.8249841471147749,0.829719387755102,0.027797627554666287
gsep_185,1.0,1.0,0.6769281694803045,0.6890729531697993,0.009557845198037826,0.05501618122977346,0.4977168949771689,0.12698412698412698,0.014875888367919728,0.014449548831767531,0.008852529688056103,0.9242315939957112,0.8199112238427394,0.8284438775510204,0.0817493211376304
gsep_186,1.0,1.0,0.2707712677921218,0.29818413507486463,0.0015061808353287426,0.1488673139158576,0.6529680365296804,0.19047619047619047,0.0025440559364040727,0.0015411289344905582,0.0012206064433984492,0.9356683345246605,0.8123018389346861,0.8392857142857143,0.07103044161783621
gsep_187,0.3107142857142857,0.3814102564102564,0.27573651108904335,0.30296272698311566,0.031829435176383335,0.09061488673139159,0.8447488584474886,0.1746031746031746,0.039386362765963266,0.030519975481986098,0.02379054694196731,0.9456754824874911,0.8243500317057705,0.8399234693877551,0.5140774617693297
gsep_188,1.0,1.0,0.6948030453492221,0.706275884039503,0.009868908488971375,0.0,0.9817351598173516,0.1746031746031746,0.012468609632397595,0.010600251178497019,0.008000360918537678,0.9313795568263045,0.8294229549778059,0.8271683673469388,0.00035729598399313994
gsep_189,1.0,1.0,0.21185038066865278,0.241478177763619,0.0015762087652528374,0.3333333333333333,0.5981735159817352,0.7619047619047619,0.00040923738503876266,0.00010788961664405164,0.0013960529547698895,0.949964260185847,0.8173747622067217,0.8807397959183674,0.027440331570673143
gsep_191,0.3535714285714286,0.4198717948717949,0.05958291956305859,0.0949346925772539,0.0002329105735596977,0.0,0.8858447488584474,0.2222222222222222,0.00035890337511420894,0.00021014366760895568,0.00018446947481340012,0.9635453895639743,0.8535193405199747,0.8514030612244898,0.02243818779476919
