sep_index,fl_rise_time,fl_lon,fl_lat,fluence_gt10MeV,GOES_X_ray_flux_value,sin_lat,cos_lat,sin_lon,cos_lon
gsep_025,0.00641025641025641,0.3436123348017621,0.8589743589743589,0.030496418438664866,0.1603544376161212,0.8774042586954506,0.44418075796075607,0.312696703292044,0.9545414767743124
gsep_026,0.02564102564102564,0.7048458149779736,0.8846153846153846,0.04351649813687036,0.23181363441474917,0.9009547293981872,0.3721257288143419,0.9330127018922193,0.6878540950277137
gsep_027,0.038461538461538464,0.5638766519823789,0.6923076923076923,0.0007635893799476987,0.05316564241817922,0.7134942569900327,0.809931307264892,0.7347357813929454,0.9269251408875305
gsep_028,0.04807692307692308,0.31277533039647576,0.9102564102564102,0.015178677617246639,0.1246248392168072,0.9239772739359485,0.2960902576065605,0.2575951898768315,0.9217261100386727
gsep_029,0.09935897435897435,0.27312775330396477,0.8076923076923077,0.0003686104916239858,0.004573388595112191,0.8288349175177434,0.5760032947659386,0.19216926233717085,0.8676568496803544
gsep_030,0.08012820512820513,0.5991189427312775,0.20512820512820512,0.00035219862645818054,0.018865227954837787,0.1955302793541884,0.7656626338236662,0.7938926261462366,0.8807708737496814
gsep_031,0.05128205128205128,0.43612334801762115,0.8461538461538461,0.001050249958177097,0.08532228097756181,0.8654399933020694,0.47868798062407614,0.49127379678135824,0.99990491733352
gsep_032,0.022435897435897436,0.18061674008810572,0.8589743589743589,0.0014911820689650645,0.01457767614692011,0.8774042586954506,0.44418075796075607,0.07141634964894383,0.6972422420313934
gsep_033,0.07051282051282051,0.3700440528634361,0.19230769230769232,0.0020929504583779234,0.019937115906817206,0.1825239940828953,0.7418522483131734,0.36218132209150045,0.9758159940431499
gsep_034,0.009615384615384616,0.6916299559471366,0.6538461538461539,0.0002602921815296712,0.002000857510361583,0.673556858693309,0.8678555136148586,0.919335283972712,0.715721878991424
gsep_036,0.0673076923076923,0.5638766519823789,0.8205128205128205,7.144631968847217e-05,0.002179505502358153,0.8411516234768481,0.5446092891612546,0.7347357813929454,0.9269251408875305
gsep_037,0.03205128205128205,0.6343612334801763,0.8205128205128205,0.00018479760176696704,0.01279119622695441,0.8411516234768481,0.5446092891612546,0.8473291852294986,0.8247861359740113
gsep_038,0.035256410256410256,0.5462555066079295,0.7051282051282052,0.0002931159118612817,0.007074460483064171,0.726662330229214,0.7883579578794263,0.7033683215379001,0.9460271372737695
gsep_039,0.01282051282051282,0.8105726872246696,0.782051282051282,0.0013270634173070122,0.09246820065742463,0.8038752213034641,0.635610196969315,0.9972609476841366,0.44096445357951536
gsep_040,0.08653846153846154,0.6035242290748899,0.2564102564102564,0.3610313828779825,0.09246820065742463,0.24834430588727566,0.8496861399861888,0.8009075115760241,0.8742897981088588
gsep_042,0.028846153846153848,0.8105726872246696,0.23076923076923078,0.07283903056644239,0.7141632128054881,0.2217875253930232,0.809931307264892,0.9972609476841366,0.44096445357951536
gsep_043,0.009615384615384616,0.8281938325991189,0.24358974358974358,0.043844735440186466,0.10318708017721881,0.23503048794906178,0.8303761105288554,0.9996954135095479,0.39749566001798625
gsep_045,0.009615384615384616,0.3303964757709251,0.20512820512820512,0.004467200285697749,0.0007860511647849077,0.1955302793541884,0.7656626338236662,0.28869086912965025,0.9415087187913977
gsep_046,0.009615384615384616,0.18502202643171806,0.24358974358974358,0.00045285806614178605,0.0008932399599828498,0.23503048794906178,0.8303761105288554,0.07597595192178697,0.7065324466480709
gsep_047,0.009615384615384616,0.3700440528634361,0.23076923076923078,0.0012176509828683104,0.04244676289838502,0.2217875253930232,0.809931307264892,0.36218132209150045,0.9758159940431499
gsep_048,0.019230769230769232,0.3832599118942731,0.6794871794871795,0.0016771832075108573,0.025653851650707445,0.700251294433994,0.8303761105288554,0.3875244728280675,0.9839994413560122
gsep_049,0.016025641025641024,0.8370044052863436,0.05128205128205128,0.2789720570489563,0.3497213091324854,0.04603807618543245,0.4086564003363563,1.0,0.37570819005542727
gsep_051,0.03205128205128205,0.4008810572687225,0.14102564102564102,0.8873051925281373,0.46405602401029017,0.13140656107959175,0.635610196969315,0.4217827674798846,0.9923139318667175
gsep_052,0.01282051282051282,0.5814977973568282,0.11538461538461539,0.3041369169698576,0.004216092611119051,0.10644686486531241,0.5760032947659386,0.7649596321166025,0.9051376709249714
gsep_053,0.038461538461538464,0.6916299559471366,0.08974358974358974,0.1608066278551585,0.13177075889667003,0.08192722793443688,0.5121675570920139,0.919335283972712,0.715721878991424
gsep_055,0.009615384615384616,0.21585903083700442,0.24358974358974358,0.0011629447656489596,0.002572531084750607,0.23503048794906178,0.8303761105288554,0.11142701927151455,0.7685877560189565
gsep_056,0.00641025641025641,0.3568281938325991,0.717948717948718,0.0006016589769784203,0.0324424753465771,0.7397515030288674,0.7656626338236662,0.33721592277142165,0.9659876929525391
gsep_057,0.019230769230769232,0.6916299559471366,0.717948717948718,0.0004955289155728796,0.034586251250535945,0.7397515030288674,0.7656626338236662,0.919335283972712,0.715721878991424
